,episode,score,Q_sum
630,630.0,2.0,35412.98661381264
631,631.0,0.0,35415.750298229286
632,632.0,0.0,35416.07944826674
633,633.0,0.0,35417.05346102825
634,634.0,2.0,35443.58914126558
635,635.0,0.0,35473.04494012268
636,636.0,0.0,35464.71359363945
637,637.0,0.0,35460.69205614509
638,638.0,1.0,35457.27466946986
639,639.0,0.0,35456.4722669795
640,640.0,0.0,35462.422983613185
641,641.0,0.0,35469.6252001276
642,642.0,0.0,35474.867480580695
643,643.0,2.0,35476.626102574686
644,644.0,2.0,35488.332517162446
645,645.0,0.0,35608.84198211618
646,646.0,0.0,35722.14112876101
647,647.0,0.0,35712.931942668445
648,648.0,0.0,35661.68739253549
649,649.0,0.0,35618.15175883702
650,650.0,0.0,35615.11883785602
651,651.0,1.0,35616.10874869488
652,652.0,3.0,35665.11509486736
653,653.0,0.0,35734.14562852643
654,654.0,0.0,35730.78369447392
655,655.0,0.0,35748.39374167759
656,656.0,0.0,35729.550153624725
657,657.0,0.0,35726.7352792461
658,658.0,0.0,35782.4251245301
659,659.0,0.0,35785.92660380906
660,660.0,1.0,35809.78969362439
661,661.0,1.0,35836.08052306012
662,662.0,0.0,35833.19522846362
663,663.0,0.0,35832.371770035075
664,664.0,0.0,35826.796706367044
665,665.0,1.0,35825.22048169749
666,666.0,1.0,35829.055220300135
667,667.0,2.0,35892.96615054918
668,668.0,0.0,35991.519037114675
669,669.0,0.0,36052.81269878479
670,670.0,0.0,36070.34221828586
671,671.0,1.0,36200.38548288809
672,672.0,0.0,36255.39401458571
673,673.0,0.0,36385.00340891592
674,674.0,1.0,36489.75096870808
675,675.0,2.0,36524.60915670757
676,676.0,0.0,36534.13598973992
677,677.0,0.0,36554.430615116435
678,678.0,0.0,36566.1372527552
679,679.0,1.0,36581.633950191695
680,680.0,1.0,36634.94288094359
681,681.0,0.0,36702.61065075736
682,682.0,1.0,36739.1947939643
683,683.0,0.0,36743.69698569673
684,684.0,0.0,36745.66039841314
685,685.0,0.0,36746.934221065734
686,686.0,0.0,36747.65021698485
687,687.0,1.0,36798.78586632789
688,688.0,0.0,36803.59518856527
689,689.0,2.0,36822.65276482061
690,690.0,1.0,36886.74523425213
691,691.0,0.0,36936.20127548308
692,692.0,0.0,36946.95439824037
693,693.0,1.0,36955.98807203646
694,694.0,0.0,36967.374096284024
695,695.0,2.0,37002.61566598596
696,696.0,0.0,36970.35106472681
697,697.0,0.0,36994.14756104588
698,698.0,1.0,36992.83124598264
699,699.0,2.0,37034.372824536695
700,700.0,1.0,37034.54742493155
701,701.0,1.0,37037.85161204867
702,702.0,0.0,37032.09421325802
703,703.0,1.0,37029.835752214836
704,704.0,0.0,37031.45648376524
705,705.0,0.0,37034.07122986372
706,706.0,0.0,37097.3001360068
707,707.0,1.0,37104.27948861983
708,708.0,0.0,37106.38385584029
709,709.0,0.0,37120.32838497056
710,710.0,1.0,37127.51077728891
711,711.0,1.0,37133.82618901531
712,712.0,0.0,37134.352806573865
713,713.0,0.0,37134.1745777778
714,714.0,1.0,37136.766557973766
715,715.0,1.0,37134.15596143049
716,716.0,0.0,37135.12362020788
717,717.0,1.0,37150.88070590583
718,718.0,0.0,37152.73953471775
719,719.0,1.0,37154.37680343127
720,720.0,2.0,37150.97676932292
721,721.0,1.0,37158.6839876547
722,722.0,1.0,37159.58363754074
723,723.0,0.0,37163.876065159406
724,724.0,0.0,37166.737005638606
725,725.0,0.0,37168.69728729976
726,726.0,0.0,37170.68859867678
727,727.0,0.0,37187.85558000201
728,728.0,1.0,37196.21481056512
729,729.0,3.0,37248.13595935976
730,730.0,0.0,37287.78230577923
731,731.0,1.0,37369.425180547936
732,732.0,0.0,37396.52768204657
733,733.0,0.0,37399.47967811822
734,734.0,0.0,37402.04409975698
735,735.0,2.0,37395.33776745838
736,736.0,0.0,37355.49252896216
737,737.0,0.0,37333.73152541077
738,738.0,1.0,37359.7290738288
739,739.0,0.0,37359.7348582444
740,740.0,0.0,37363.29408999401
741,741.0,0.0,37369.41930914406
742,742.0,0.0,37372.18728643728
743,743.0,0.0,37377.13147060314
744,744.0,0.0,37381.082052954596
745,745.0,0.0,37387.78205086364
746,746.0,0.0,37395.65361359933
747,747.0,1.0,37399.19872402401
748,748.0,0.0,37402.34622516086
749,749.0,1.0,37404.023095924305
750,750.0,0.0,37399.41465392006
751,751.0,0.0,37400.33001299763
752,752.0,1.0,37406.776519733176
753,753.0,0.0,37408.04971840828
754,754.0,1.0,37412.13455069569
755,755.0,0.0,37429.01375150017
756,756.0,1.0,37435.237151889014
757,757.0,0.0,37434.953612073965
758,758.0,0.0,37432.6794364244
759,759.0,0.0,37440.270988178054
